,monetaryShock,Constant,intervention,UIPdev,exchgrt
2003-03-15,-0.02094189860135587,1,0.034700000000000175,0.18064999999999998,1.6121
2003-04-15,-0.0207054127084787,1,-0.037150000000000016,0.2642,1.57085
2003-05-15,-0.06297193337067775,1,-0.005600000000000049,0.16444999999999999,1.6107
2003-06-15,-0.23722581338381232,1,0.056599999999999984,0.14894999999999992,1.6687
2003-07-15,-0.014918674055619752,1,0.06044999999999989,0.23245000000000005,1.6313
2003-08-15,-0.05481590794247304,1,-0.008499999999999952,0.21960000000000002,1.6022
2003-09-15,-0.035195294973044966,1,-0.06415000000000015,0.19605000000000006,1.60455
2003-10-15,-0.039503487628634426,1,0.03534999999999999,0.12034999999999996,1.66665
2003-11-15,-0.05386470556232137,1,0.07404999999999995,0.17365000000000008,1.67625
2003-12-15,-0.01618549988263429,1,0.14155000000000006,0.16749999999999998,1.7461
2004-01-15,-0.02821524210196258,1,0.18375000000000008,0.042750000000000066,1.8504
2004-02-15,-0.04671853773258938,1,0.21520000000000006,-0.0262,1.89145
2004-03-15,-0.0345961798415475,1,0.04665000000000008,0.13405,1.79275
2004-04-15,-0.03489113543085387,1,-0.015349999999999975,0.05064999999999986,1.83505
2004-05-15,-0.010553402749562624,1,-0.11630000000000007,0.0885499999999999,1.77515
2004-06-15,0.1941870573014346,1,0.024899999999999922,-0.004350000000000076,1.81765
2004-07-15,0.13988721356588374,1,0.028699999999999948,-0.09034999999999993,1.86375
2004-08-15,0.15410033436680526,1,0.04665000000000008,-0.006850000000000023,1.8218
2004-09-15,0.12435376591759573,1,-0.01705000000000001,0.021600000000000064,1.8006
2004-10-15,0.1416933073222857,1,-0.0767500000000001,-0.03534999999999999,1.787
2004-11-15,0.20542298573275408,1,0.028100000000000014,-0.10955000000000004,1.8499
2004-12-15,0.10386280061842568,1,0.11299999999999999,-0.14124999999999988,1.9136
2005-01-15,0.20567449145180206,1,0.10615000000000019,-0.1313000000000002,1.89315
2005-02-15,0.11188743005583834,1,0.015349999999999975,-0.12035000000000018,1.86525
2005-03-15,0.14610208131255442,1,0.0132000000000001,-0.20084999999999997,1.9268
2005-04-15,0.1998206895547332,1,-0.007450000000000179,-0.13464999999999994,1.8857
2005-05-15,0.03855259484162055,1,-0.0015500000000001624,0.02660000000000018,1.8637
2005-06-15,0.21708896998436344,1,-0.11350000000000016,0.029000000000000137,1.8133
2005-07-15,0.23557914196999796,1,-0.11229999999999984,0.05884999999999985,1.7734
2005-08-15,0.11972092443367144,1,-0.04874999999999985,0.0815999999999999,1.81495
2005-09-15,0.15947835371498664,1,0.00890000000000013,0.05335000000000001,1.8222
2005-10-15,0.23438632232727574,1,-0.021750000000000158,0.1048,1.75165
2005-11-15,0.18384460305874484,1,-0.0746,0.17169999999999996,1.74035
2005-12-15,0.14863387839158726,1,-0.04984999999999995,0.19399999999999995,1.77235
2006-01-15,0.21333688767763803,1,0.010199999999999987,0.19820000000000015,1.76185
2006-02-15,0.12478872630618465,1,0.004549999999999832,0.2027000000000001,1.7449
2006-03-15,0.22516544586810117,1,-0.0464,0.20299999999999985,1.72595
2006-04-15,0.17342438910829738,1,-0.01079999999999992,0.22829999999999995,1.75105
2006-05-15,0.07976570156581175,1,0.1454000000000002,0.09214999999999995,1.8903
2006-06-15,0.28041628859483847,1,0.11634999999999995,0.13114999999999988,1.8423
2006-07-15,0.04194985586866107,1,0.08119999999999994,0.19655,1.83225
2006-08-15,0.032496522865648636,1,0.006249999999999867,0.12314999999999987,1.89655
